#service [domain];url;validate;service_caption;host_caption [service]
www.fon.bet;https://www.fon.bet/settings.js;http;;www.fon.bet
#STM-UPD;http://origin-dc.bk-svc.com/Updates/Stakemat/stakemat.json;http/json;;Origin (DC)
#STM-UPD;http://origin.bkfon-resources.com/Updates/Stakemat/stakemat.json;http/json;;CDN (Edgecast|Verizon)
STM-UPD;http://upd.stm-ep.com/stakemat/stakemat.json;http/json;;CDN (Edgecenter/ngenix)
STM-Results;http://results.stm-ep.com/;http;;BK DC proxy
STM-FON-Stat;http://stat.stm-ep.com/;http;;BK DC proxy
STM-Stat-Center;http://stat.stm-ep.com/stat-center/;http;;BK DC proxy
STM-stakemat-screens;https://bk-www.stm-ep.com/stakemat-screens/;http;;Servers DC proxy
andr-ca;https://clientsapi01a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi02a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi03a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi04a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi31a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi51a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-ca;https://clientsapi52a.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;andr-ca;
andr-la;https://line01a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line02a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line03a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line04a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line05a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line31a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line51a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
andr-la;https://line52a.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;andr-la;
ios-ca;https://clientsapi01i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi02i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi03i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi04i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi31i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi51i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-ca;https://clientsapi52i.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;ios-ca;
ios-la;https://line01i.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;ios-la;
#ios-la;https://line01i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line02i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line03i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line04i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line05i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line31i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line51i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
ios-la;https://line52i.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;ios-la;
web-ca;https://clientsapi01w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi02w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi03w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi04w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi31w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi51w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-ca;https://clientsapi52w.bk6bba-resources.com/geoIp/checkGeoAccess;http/json;web-ca;
web-la;https://line01w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line02w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
#web-la;https://line03w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line03w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line04w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line05w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line06w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
#web-la;https://line09w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line09w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line10w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line32w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line51w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line52w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line53w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
web-la;https://line55w.bk6bba-resources.com/line/desktop/topEvents3?place=line&sysId=1&lang=ru&supertop=4&scopeMarket=1600;http/json;web-la;
mobweb-la;https://line07w.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;mobweb-la;
mobweb-la;https://line08w.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;mobweb-la;
mobweb-la;https://line31w.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;mobweb-la;
mobweb-la;https://line54w.bk6bba-resources.com/line/mobile/showEvents?lang=ru&lineType=full_line&sportId=20044&specify1X2=false&sysId=1;http/json;mobweb-la;
#liveodds;liveodds.fbsvc.bz:8080;http;liveodds;
kladr;http://kladr.cshdsk-ep.com/getobjects?value=12345;http;KLADR;kladr-lb
kladr;http://kladr01.cshdsk-ep.com/getobjects?value=12345;http;KLADR;kladr@cshdsk-ep01
kladr;http://kladr02.cshdsk-ep.com/getobjects?value=12345;http;KLADR;kladr@cshdsk-ep02
