#service;ip/domain;banned;comment;https://github.com/fbdevdata/psipl/edit/gh-pages/fb_ip_ban_check
_access_page;ap-16.access-fonbet.net;;;
_landing_page;lp-40.fon-infosport.info;;;
_metrix_page «int»;mp-01.smartdirectroute.co;;;
_metrix_page «for all»;mp-38.fbmetrix.org;;;
_metrix_page «adv»;mp-21.fbmetrix.info;;;
sport-in-fon.tk;m.sport-in-fon.tk;;;
sport-in-fon.tk;www.sport-in-fon.tk;;;
sport-in-fon.tk;racing.sport-in-fon.tk;;;
sport-in-fon.tk;games.sport-in-fon.tk;;;
#bk-fon-bet.cf;m.#bk-fon-bet.cf;1;;
#bk-fon-bet.cf;www.#bk-fon-bet.cf;1;;
#bk-fon-bet.cf;racing.#bk-fon-bet.cf;1;;
#bk-fon-bet.cf;games.#bk-fon-bet.cf;1;;
fonbet84.com;m.fonbet84.com;;;
fonbet84.com;www.fonbet84.com;;;
fonbet84.com;racing.fonbet84.com;;;
fonbet84.com;games.fonbet84.com;;;
fonbet69.vip;m.fonbet69.vip;;;
fonbet69.vip;www.fonbet69.vip;;;
fonbet69.vip;racing.fonbet69.vip;;;
fonbet69.vip;games.fonbet69.vip;;;
sportlevel.com;sportlevel.com;;;
esports;esport-ctrl.com;;;
esports;esport-origin.com;;;
esports;esport-resources.com;;;
esports;esports.bet;;;
bkfonbet.bet;bkfonbet.bet;;;
bkfonbet.bet;account.bkfonbet.bet;;;
bkfonbet.bet;bets.bkfonbet.bet;;;
bkfonbet.bet;fivelevel.bkfonbet.bet;;;
bkfonbet.bet;live.bkfonbet.bet;;;
bkfonbet.bet;racing.bkfonbet.bet;;;
bkfonbet.bet;reg.bkfonbet.bet;;;
bkfonbet.bet;register.bkfonbet.bet;;;
bkfonbet.bet;results.bkfonbet.bet;;;
bkfonbet.bet;stat.bkfonbet.bet;;;
bkfonbet.bet;toto.bkfonbet.bet;;;
bkfonbet.bet;www.bkfonbet.bet;;;
fbla01;188.42.198.4;;service ip;
fbla01;188.42.196.191;;;
fbla01;188.42.196.192;;;
fbla01;188.42.196.193;;;
fbla01;188.42.196.194;;;
fbla01;188.42.196.195;;;
fbla01;188.42.196.196;;;
fbla01;188.42.196.197;;;
fbla01;188.42.196.198;;;
fbla01;188.42.196.199;;;
fbla01;188.42.196.200;;;
fbla02;188.42.131.244;;service ip;
fbla02;185.82.210.10;;;
fbla02;185.82.210.100;;;
fbla02;185.82.210.11;;;
